Date,Open*,High,Low,Close**,Volume,Market Cap
19-Sep-20,$385.60 ,$385.60 ,$367.09 ,$371.05 ,"$12,292,195,784 ","$41,812,641,074 "
18-Sep-20,$384.04 ,$387.08 ,$378.72 ,$385.54 ,"$11,049,507,684 ","$43,440,360,815 "
17-Sep-20,$389.34 ,$391.90 ,$376.96 ,$384.36 ,"$14,108,357,740 ","$43,302,193,327 "
16-Sep-20,$365.87 ,$393.90 ,$364.80 ,$389.02 ,"$19,899,531,080 ","$43,821,351,213 "
15-Sep-20,$364.74 ,$372.77 ,$356.68 ,$365.81 ,"$16,107,612,177 ","$41,202,147,932 "
14-Sep-20,$377.15 ,$381.51 ,$363.61 ,$364.84 ,"$16,140,584,321 ","$41,087,642,853 "
13-Sep-20,$365.70 ,$384.49 ,$357.57 ,$377.27 ,"$17,536,695,361 ","$42,482,307,939 "
12-Sep-20,$387.52 ,$388.96 ,$354.34 ,$365.57 ,"$15,005,899,191 ","$41,160,025,962 "
11-Sep-20,$374.60 ,$387.54 ,$367.84 ,$387.18 ,"$13,295,405,814 ","$43,588,199,422 "
10-Sep-20,$368.12 ,$376.63 ,$355.58 ,$374.70 ,"$27,296,269,329 ","$42,177,302,259 "
9-Sep-20,$351.43 ,$377.39 ,$351.11 ,$368.10 ,"$31,421,134,556 ","$41,430,053,162 "
8-Sep-20,$337.82 ,$359.16 ,$332.16 ,$351.11 ,"$14,547,933,520 ","$39,512,826,170 "
7-Sep-20,$353.20 ,$355.56 ,$328.82 ,$337.60 ,"$17,991,403,432 ","$37,988,119,627 "
6-Sep-20,$353.45 ,$358.21 ,$326.25 ,$352.67 ,"$21,763,614,732 ","$39,679,199,320 "
5-Sep-20,$335.33 ,$359.76 ,$319.04 ,$353.36 ,"$27,643,678,917 ","$39,751,917,523 "
4-Sep-20,$388.04 ,$394.17 ,$316.77 ,$335.26 ,"$29,880,047,640 ","$37,710,860,058 "
3-Sep-20,$384.67 ,$402.41 ,$371.64 ,$388.24 ,"$16,747,106,257 ","$43,665,020,996 "
2-Sep-20,$440.24 ,$449.53 ,$381.13 ,$385.67 ,"$19,622,845,896 ","$43,370,721,326 "
1-Sep-20,$477.01 ,$480.33 ,$424.46 ,$440.04 ,"$19,691,854,014 ","$49,478,789,435 "
31-Aug-20,$434.87 ,$487.21 ,$432.08 ,$477.05 ,"$18,862,763,756 ","$53,633,933,560 "
